audio,text
/content/asr_bengali/data/07/070078fb60.wav,তেঁতুলিয়ার ভজনপুর গ্রামের
/content/asr_bengali/data/07/070091fd89.wav,জবাবদিহিতায় আনার জন্য
/content/asr_bengali/data/07/0701321116.wav,কাপড়ের ফুল
/content/asr_bengali/data/07/0702a34ecd.wav,মেক্সিকানদের আত্মপরিচয়
/content/asr_bengali/data/07/0702e6243b.wav,শুভ সকাল ছবি
/content/asr_bengali/data/07/07054c4f32.wav,তাকে সব্বোর্চ্চ শাস্তি
/content/asr_bengali/data/07/070590eddd.wav,নির্ধারণ ছিল রীতিমতো অভিনব
/content/asr_bengali/data/07/0705e4f8d0.wav,ক্ষত স্থানে ও ব্রণে লাগালে
/content/asr_bengali/data/07/070631d650.wav,পরে সকাল ৮টায়
/content/asr_bengali/data/07/07072d042b.wav,পুলিশ সর্ব্বোচ্চ সতর্কতা
/content/asr_bengali/data/07/07089eba02.wav,এ চাওয়া কি তার ভুল
/content/asr_bengali/data/07/0708a616f5.wav,মানষের সব গুনাহ
/content/asr_bengali/data/07/0708ab80bb.wav,সেক্ষেত্রে চিকিৎসকের
/content/asr_bengali/data/07/070a2946a9.wav,বিষয়টি পুলিশকে জানানো হয়
/content/asr_bengali/data/07/070b90fd75.wav,রাজধানী বুয়েন্স আয়ার্স থেকে
/content/asr_bengali/data/07/070bbf4093.wav,কোনো কৃষক সরাসরি
/content/asr_bengali/data/07/070cf1c8b5.wav,নারী কি বৃক্ষ কোনো
/content/asr_bengali/data/07/070f52dfcf.wav,সময়সীমা বাড়ানো জরুরি
/content/asr_bengali/data/07/07102bdd88.wav,ক্রিকেট জগত
/content/asr_bengali/data/07/071036d35e.wav,যাতে এখান থেকে সবাই
/content/asr_bengali/data/07/0710d1cb66.wav,পরিচিত করিয়ে দিলেন
/content/asr_bengali/data/07/0712888fcd.wav,কিন্তু সুষ্ঠু সাংবাদিকতা
/content/asr_bengali/data/07/0712d756fa.wav,গুপি থতমত খেযে বলল
/content/asr_bengali/data/07/071334e9c7.wav,অস্ত্রসহ পুলিশ
/content/asr_bengali/data/07/0713419812.wav,কই যাস এত রাইতে
/content/asr_bengali/data/07/07136f49c6.wav,অপেক্ষা করিতে হইবে
/content/asr_bengali/data/07/07139b4a2c.wav,প্রথম সিনেমা
/content/asr_bengali/data/07/0713c3eb15.wav,রাজধানীর উপকণ্ঠে
/content/asr_bengali/data/07/07147e0f3a.wav,অন্যত্র যাইয়া লাভ নাই
/content/asr_bengali/data/07/071496876b.wav,পুরুষের চেয়ে নারী
/content/asr_bengali/data/07/0715489747.wav,কাউন্ট প্যারিসকে বিয়ে করতে
/content/asr_bengali/data/07/07157f5b97.wav,লাশ দেখা যায়
/content/asr_bengali/data/07/0716491963.wav,তবে শিল্পীপরিচালকরা
/content/asr_bengali/data/07/071649b02e.wav,তুমি যার তার
/content/asr_bengali/data/07/071685b049.wav,কুঁকড়ে আছে মঞ্জু
/content/asr_bengali/data/07/0716f22138.wav,হইবার সঙ্গে সঙ্গে
/content/asr_bengali/data/07/071741a9b7.wav,আদমজী ক্যান্টনমেন্ট কলেজ
/content/asr_bengali/data/07/071867cfcc.wav,স্কারলেট জোহানসেন
/content/asr_bengali/data/07/07193cd89b.wav,শৈবধর্ম বৈষ্ণবধর্ম
/content/asr_bengali/data/07/0719c9eff9.wav,এরকম একটি সংবিধান
/content/asr_bengali/data/07/0719f97d8a.wav,শিগগিরই প্রোডাক্ট লাইনে
/content/asr_bengali/data/07/071a227bcc.wav,মা এবং বোন প্রত্যেকের সঙ্গে
/content/asr_bengali/data/07/071afa091d.wav,হ্যাঁ গো মা
/content/asr_bengali/data/07/071b968d82.wav,নানা ধরনের জিনিস ফেলে
/content/asr_bengali/data/07/071d32bd73.wav,১৯৮৭ সালের ২০ ফেব্রুয়ারি
/content/asr_bengali/data/07/071ddd0c39.wav,যারা প্রধানমন্ত্রীর বিরুদ্ধে
/content/asr_bengali/data/07/071e9958f1.wav,নিঃশেষ হয়ে গেছে
/content/asr_bengali/data/07/071ea87bfc.wav,তখন তিনি
/content/asr_bengali/data/07/071eedd4d5.wav,একটি বৈঠকেরও
/content/asr_bengali/data/07/071f3b4d40.wav,অধিবেশন মুলতবি করেতে
/content/asr_bengali/data/07/071f9f8cb3.wav,ধর্মের জন্য
/content/asr_bengali/data/07/071fd0885a.wav,স্বস্তিকা মুখার্জি
/content/asr_bengali/data/07/07206f3540.wav,বাঙালী মুসলমান সম্বন্ধে
/content/asr_bengali/data/07/0723429cde.wav,দ্রৌপদীর বহু স্বামীও এই জন্য
/content/asr_bengali/data/07/0723a04a6c.wav,মাছের পোনা
/content/asr_bengali/data/07/072408b9d8.wav,বিশেষ করে যারা
/content/asr_bengali/data/07/0724862898.wav,আমি আপনার একজন
/content/asr_bengali/data/07/0725a9a0ef.wav,জাহাজটি হেলে যাওয়ার পরও
